participant,question,original_column,phase,response
0,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,No
1,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
2,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
3,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
4,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
5,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
6,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
7,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
8,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
9,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
10,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
11,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
12,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
13,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
14,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
15,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
16,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
17,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
18,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
19,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
20,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
21,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
22,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
23,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
24,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
25,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
26,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
27,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
28,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
29,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
30,Are you currently enrolled in a university degree program?,Are you currently enrolled in a university degree program?,yes/no,Yes
1,What is your current year of study?,What is your current year of study?,yes/no,3rd
2,What is your current year of study?,What is your current year of study?,yes/no,4th or more
3,What is your current year of study?,What is your current year of study?,yes/no,4th or more
4,What is your current year of study?,What is your current year of study?,yes/no,4th or more
5,What is your current year of study?,What is your current year of study?,yes/no,4th or more
6,What is your current year of study?,What is your current year of study?,yes/no,4th or more
7,What is your current year of study?,What is your current year of study?,yes/no,2nd
8,What is your current year of study?,What is your current year of study?,yes/no,2nd
9,What is your current year of study?,What is your current year of study?,yes/no,1st
10,What is your current year of study?,What is your current year of study?,yes/no,3rd
11,What is your current year of study?,What is your current year of study?,yes/no,1st
12,What is your current year of study?,What is your current year of study?,yes/no,4th or more
13,What is your current year of study?,What is your current year of study?,yes/no,3rd
14,What is your current year of study?,What is your current year of study?,yes/no,3rd
15,What is your current year of study?,What is your current year of study?,yes/no,4th or more
16,What is your current year of study?,What is your current year of study?,yes/no,4th or more
17,What is your current year of study?,What is your current year of study?,yes/no,4th or more
18,What is your current year of study?,What is your current year of study?,yes/no,3rd
19,What is your current year of study?,What is your current year of study?,yes/no,4th or more
20,What is your current year of study?,What is your current year of study?,yes/no,2nd
21,What is your current year of study?,What is your current year of study?,yes/no,4th or more
22,What is your current year of study?,What is your current year of study?,yes/no,4th or more
23,What is your current year of study?,What is your current year of study?,yes/no,1st
24,What is your current year of study?,What is your current year of study?,yes/no,4th or more
25,What is your current year of study?,What is your current year of study?,yes/no,4th or more
26,What is your current year of study?,What is your current year of study?,yes/no,4th or more
27,What is your current year of study?,What is your current year of study?,yes/no,4th or more
28,What is your current year of study?,What is your current year of study?,yes/no,4th or more
29,What is your current year of study?,What is your current year of study?,yes/no,4th or more
30,What is your current year of study?,What is your current year of study?,yes/no,1st
0,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
1,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
2,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,Did you have a part-time job related to IT or software development during the pandemic (2020–2022)?,yes/no,Yes
